param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,rank_test_score
100,,2,1,0.8577422577422578,0.045320060768425284,0.8717948717948718,0.8974358974358975,0.9090909090909091,0.8181818181818182,0.7922077922077922,1
100,20,2,1,0.8577422577422578,0.045320060768425284,0.8717948717948718,0.8974358974358975,0.9090909090909091,0.8181818181818182,0.7922077922077922,1
100,10,2,1,0.8577089577089577,0.05029491339881296,0.8717948717948718,0.9102564102564102,0.9090909090909091,0.8051948051948052,0.7922077922077922,3
100,20,2,2,0.8551448551448552,0.04837476020646003,0.8461538461538461,0.9230769230769231,0.8961038961038961,0.7922077922077922,0.8181818181818182,4
100,,2,2,0.8551448551448552,0.04837476020646003,0.8461538461538461,0.9230769230769231,0.8961038961038961,0.7922077922077922,0.8181818181818182,4
200,10,2,1,0.8525474525474526,0.047226984918730265,0.8589743589743589,0.9102564102564102,0.8961038961038961,0.7922077922077922,0.8051948051948052,6
100,10,2,2,0.84998334998335,0.04264901033639988,0.8461538461538461,0.9102564102564102,0.8831168831168831,0.7922077922077922,0.8181818181818182,7
200,,2,1,0.8498834498834498,0.048814100716601055,0.8846153846153846,0.9102564102564102,0.8701298701298701,0.7922077922077922,0.7922077922077922,8
200,20,2,1,0.8498834498834498,0.048814100716601055,0.8846153846153846,0.9102564102564102,0.8701298701298701,0.7922077922077922,0.7922077922077922,8
200,10,5,1,0.8475191475191476,0.03612376807050909,0.8205128205128205,0.8846153846153846,0.8961038961038961,0.8051948051948052,0.8311688311688312,10
50,10,2,2,0.844888444888445,0.05701998453081181,0.8333333333333334,0.8846153846153846,0.922077922077922,0.7532467532467533,0.8311688311688312,11
200,20,10,1,0.8448551448551449,0.04866414503056283,0.8205128205128205,0.9102564102564102,0.8961038961038961,0.8051948051948052,0.7922077922077922,12
200,,10,1,0.8448551448551449,0.04866414503056283,0.8205128205128205,0.9102564102564102,0.8961038961038961,0.8051948051948052,0.7922077922077922,12
50,10,2,1,0.8448218448218447,0.04520778474981447,0.8333333333333334,0.9102564102564102,0.8831168831168831,0.7922077922077922,0.8051948051948052,14
200,20,2,2,0.8423243423243424,0.04446595729140144,0.8076923076923077,0.8974358974358975,0.8961038961038961,0.8051948051948052,0.8051948051948052,15
200,,2,2,0.8423243423243424,0.04446595729140144,0.8076923076923077,0.8974358974358975,0.8961038961038961,0.8051948051948052,0.8051948051948052,15
200,10,5,2,0.8422577422577422,0.04768857762649874,0.8333333333333334,0.8974358974358975,0.8961038961038961,0.8051948051948052,0.7792207792207793,17
200,10,10,1,0.8422577422577422,0.05100208575208369,0.8205128205128205,0.9102564102564102,0.8961038961038961,0.7922077922077922,0.7922077922077922,17
50,,2,1,0.8421911421911421,0.05555922697637466,0.8333333333333334,0.9230769230769231,0.8831168831168831,0.8051948051948052,0.7662337662337663,19
50,20,2,1,0.8421911421911421,0.05555922697637466,0.8333333333333334,0.9230769230769231,0.8831168831168831,0.8051948051948052,0.7662337662337663,19
200,10,2,2,0.8397269397269398,0.04153110946633115,0.8076923076923077,0.8974358974358975,0.8831168831168831,0.8051948051948052,0.8051948051948052,21
200,,5,1,0.8371961371961373,0.0333523398716797,0.8076923076923077,0.8717948717948718,0.8831168831168831,0.8051948051948052,0.8181818181818182,22
200,20,5,1,0.8371961371961373,0.0333523398716797,0.8076923076923077,0.8717948717948718,0.8831168831168831,0.8051948051948052,0.8181818181818182,22
50,,2,2,0.8371628371628372,0.05955336469841938,0.8076923076923077,0.8846153846153846,0.922077922077922,0.7532467532467533,0.8181818181818182,24
