param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,rank_test_score
50,,2,1,0.9029680365296804,0.029316891996436483,0.9315068493150684,0.875,0.8888888888888888,0.875,0.9444444444444444,1
200,,2,1,0.9029680365296804,0.02346994207538824,0.9315068493150684,0.875,0.9166666666666666,0.875,0.9166666666666666,1
200,20,2,1,0.9029680365296804,0.02346994207538824,0.9315068493150684,0.875,0.9166666666666666,0.875,0.9166666666666666,1
50,20,2,1,0.9029680365296804,0.029316891996436483,0.9315068493150684,0.875,0.8888888888888888,0.875,0.9444444444444444,1
100,,2,1,0.9001902587519026,0.032337630317975236,0.9315068493150684,0.8611111111111112,0.9166666666666666,0.8611111111111112,0.9305555555555556,5
100,20,2,1,0.9001902587519026,0.032337630317975236,0.9315068493150684,0.8611111111111112,0.9166666666666666,0.8611111111111112,0.9305555555555556,5
100,10,2,1,0.9001902587519026,0.034641641448354486,0.9315068493150684,0.8611111111111112,0.9027777777777778,0.8611111111111112,0.9444444444444444,5
50,20,5,2,0.8974124809741248,0.02745121948302021,0.9315068493150684,0.875,0.875,0.875,0.9305555555555556,8
50,10,5,2,0.8974124809741248,0.02745121948302021,0.9315068493150684,0.875,0.875,0.875,0.9305555555555556,8
50,10,5,1,0.8974124809741248,0.03805277776390827,0.9315068493150684,0.8611111111111112,0.9027777777777778,0.8472222222222222,0.9444444444444444,8
50,20,5,1,0.8974124809741248,0.03805277776390827,0.9315068493150684,0.8611111111111112,0.9027777777777778,0.8472222222222222,0.9444444444444444,8
50,10,2,1,0.8974124809741248,0.034878824723145546,0.9315068493150684,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9444444444444444,8
200,10,2,1,0.8974124809741248,0.030131220333057655,0.9315068493150684,0.8611111111111112,0.9166666666666666,0.8611111111111112,0.9166666666666666,8
50,,5,1,0.8974124809741248,0.03805277776390827,0.9315068493150684,0.8611111111111112,0.9027777777777778,0.8472222222222222,0.9444444444444444,8
50,,5,2,0.8974124809741248,0.02745121948302021,0.9315068493150684,0.875,0.875,0.875,0.9305555555555556,8
100,20,2,2,0.8973744292237443,0.03490231335152813,0.9452054794520548,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9305555555555556,16
100,10,2,2,0.8973744292237443,0.03490231335152813,0.9452054794520548,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.9305555555555556,16
