param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,rank_test_score
100,10,5,1,0.9529680365296803,0.016415438672770108,0.9315068493150684,0.9444444444444444,0.9444444444444444,0.9722222222222222,0.9722222222222222,1
50,,2,1,0.9501902587519024,0.013905507040681456,0.9315068493150684,0.9444444444444444,0.9444444444444444,0.9583333333333334,0.9722222222222222,2
100,,5,1,0.9501902587519024,0.013905507040681456,0.9315068493150684,0.9444444444444444,0.9444444444444444,0.9583333333333334,0.9722222222222222,2
100,20,5,1,0.9501902587519024,0.013905507040681456,0.9315068493150684,0.9444444444444444,0.9444444444444444,0.9583333333333334,0.9722222222222222,2
50,20,2,1,0.9501902587519024,0.013905507040681456,0.9315068493150684,0.9444444444444444,0.9444444444444444,0.9583333333333334,0.9722222222222222,2
50,,5,1,0.9474505327245053,0.021910804521121114,0.9178082191780822,0.9305555555555556,0.9444444444444444,0.9722222222222222,0.9722222222222222,6
50,10,5,1,0.9474505327245053,0.021910804521121114,0.9178082191780822,0.9305555555555556,0.9444444444444444,0.9722222222222222,0.9722222222222222,6
50,20,5,1,0.9474505327245053,0.021910804521121114,0.9178082191780822,0.9305555555555556,0.9444444444444444,0.9722222222222222,0.9722222222222222,6
100,20,2,1,0.9474124809741248,0.013378640452569713,0.9315068493150684,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,9
200,20,2,1,0.9474124809741248,0.016004640395407048,0.9315068493150684,0.9305555555555556,0.9444444444444444,0.9583333333333334,0.9722222222222222,9
100,10,2,2,0.9474124809741248,0.02026004693579498,0.9315068493150684,0.9305555555555556,0.9305555555555556,0.9722222222222222,0.9722222222222222,9
50,10,2,1,0.9474124809741248,0.016004640395407048,0.9315068493150684,0.9305555555555556,0.9444444444444444,0.9583333333333334,0.9722222222222222,9
200,,2,2,0.9474124809741248,0.02208234579178075,0.9315068493150684,0.9166666666666666,0.9444444444444444,0.9722222222222222,0.9722222222222222,9
100,,2,2,0.9474124809741248,0.02026004693579498,0.9315068493150684,0.9305555555555556,0.9305555555555556,0.9722222222222222,0.9722222222222222,9
200,20,2,2,0.9474124809741248,0.02208234579178075,0.9315068493150684,0.9166666666666666,0.9444444444444444,0.9722222222222222,0.9722222222222222,9
100,10,2,1,0.9474124809741248,0.013378640452569713,0.9315068493150684,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,9
200,10,2,1,0.9474124809741248,0.016004640395407048,0.9315068493150684,0.9305555555555556,0.9444444444444444,0.9583333333333334,0.9722222222222222,9
200,,2,1,0.9474124809741248,0.016004640395407048,0.9315068493150684,0.9305555555555556,0.9444444444444444,0.9583333333333334,0.9722222222222222,9
100,,2,1,0.9474124809741248,0.013378640452569713,0.9315068493150684,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9722222222222222,9
100,20,2,2,0.9474124809741248,0.02026004693579498,0.9315068493150684,0.9305555555555556,0.9305555555555556,0.9722222222222222,0.9722222222222222,9
