sample_id,phenotype
d0c25faf-8edb-4f10-874d-dd554d04284b.rna_seq.augmented_star_gene_counts,Stage1
07fdaba3-2f28-40b9-9d40-fac131c97e15.rna_seq.augmented_star_gene_counts,Stage1
59f36c25-d612-4fa8-a52e-7d910f6ed8d5.rna_seq.augmented_star_gene_counts,Stage1
ea380b21-3385-4169-8872-2223c82c4d21.rna_seq.augmented_star_gene_counts,Stage1
ab0765b1-777e-4c82-929f-68156b150072.rna_seq.augmented_star_gene_counts,Stage1
b75fd3ed-7171-474d-9cb6-a3daec88d5c8.rna_seq.augmented_star_gene_counts,Stage1
041cd2ad-3b5a-45c9-a901-3eb2a3998a0f.rna_seq.augmented_star_gene_counts,Stage1
329461f2-3c8b-41e7-8d4b-bc2eb0e3c252.rna_seq.augmented_star_gene_counts,Stage1
1b9729ad-8a2d-453e-964a-a47565ae9988.rna_seq.augmented_star_gene_counts,Stage1
0e99a0dc-8a50-4622-8094-da5e16c532bd.rna_seq.augmented_star_gene_counts,Stage1
9122326f-ce63-4683-9edb-c1cd0f49fa88.rna_seq.augmented_star_gene_counts,Stage1
8dcf6e9e-0a20-4199-a732-b2c5e3f0a7c7.rna_seq.augmented_star_gene_counts,Stage1
da541868-c3a6-469d-a8fc-67a77a39cd45.rna_seq.augmented_star_gene_counts,Stage1
aabd9d0c-6892-4d07-a294-eb9d23dff6dd.rna_seq.augmented_star_gene_counts,Stage1
bfcd3d46-85ed-4d92-b050-a090b343d838.rna_seq.augmented_star_gene_counts,Stage1
14f7ef5e-708f-4196-a873-aedaaccac1c1.rna_seq.augmented_star_gene_counts,Stage1
062971ce-dde4-4ff0-b244-92424d9e93e0.rna_seq.augmented_star_gene_counts,Stage1
6d0be676-7196-464a-b521-8f0ecd6322f2.rna_seq.augmented_star_gene_counts,Stage1
3378f445-d5ec-414a-8169-add022e417bc.rna_seq.augmented_star_gene_counts,Stage1
5d0f348a-2541-4ff2-92df-daa9a9a851fd.rna_seq.augmented_star_gene_counts,Stage1
8b9dc2a5-f52b-47de-8e58-5bf959971313.rna_seq.augmented_star_gene_counts,Stage1
8a10d762-6fe7-4c0d-81cb-16689954fecd.rna_seq.augmented_star_gene_counts,Stage1
def065a6-e16c-4c49-b2c8-8a678e0e6376.rna_seq.augmented_star_gene_counts,Stage1
d99a478b-874a-4176-aebe-0dad2025836c.rna_seq.augmented_star_gene_counts,Stage1
dcf4f9ca-827b-4b69-9675-f00868b3af1e.rna_seq.augmented_star_gene_counts,Stage1
1e79d890-6594-4b26-9a83-27012f254960.rna_seq.augmented_star_gene_counts,Stage1
4caf9dc4-059c-4518-b762-5aa69997b00f.rna_seq.augmented_star_gene_counts,Stage1
d2802c63-3ddd-48a8-a783-f65a9109541a.rna_seq.augmented_star_gene_counts,Stage1
8598c338-e04c-4a8a-92da-1ef545a6ca45.rna_seq.augmented_star_gene_counts,Stage1
89c3db94-37b9-4e78-8e49-572ffb7632b5.rna_seq.augmented_star_gene_counts,Stage1
08954bf4-09d7-4702-8d53-8e4c86d31fe2.rna_seq.augmented_star_gene_counts,Stage1
7b6a97e1-261b-4e71-a1bd-eeb86b917a94.rna_seq.augmented_star_gene_counts,Stage1
0d73996f-867b-4200-9a02-9dc5f55a5177.rna_seq.augmented_star_gene_counts,Stage1
20a46b1c-b901-44cb-96e2-adb083059e03.rna_seq.augmented_star_gene_counts,Stage2
720cb7e6-fc6c-4e0b-927e-08427dbb5d8e.rna_seq.augmented_star_gene_counts,Stage2
14948a4b-b3b9-48e3-afb0-fcba92314876.rna_seq.augmented_star_gene_counts,Stage2
22f7c6ac-75a6-4416-a5a2-c2eeb005def8.rna_seq.augmented_star_gene_counts,Stage2
d4f65365-60c4-4543-8e39-bb8481ec150a.rna_seq.augmented_star_gene_counts,Stage2
b4920b6f-b84c-4fa3-81e9-87e1d67c804f.rna_seq.augmented_star_gene_counts,Stage2
264b7c31-5e12-49f0-9cdc-0e5dd2786b11.rna_seq.augmented_star_gene_counts,Stage2
d55e5e2a-1668-4bec-8cbe-253ad383ea3b.rna_seq.augmented_star_gene_counts,Stage2
579f5b6e-7915-4801-8078-b583c4b1fc60.rna_seq.augmented_star_gene_counts,Stage2
1d580915-a57b-4952-9936-810db9ce4c96.rna_seq.augmented_star_gene_counts,Stage2
713a8a63-9dec-4b0f-86d7-6b620541c1e2.rna_seq.augmented_star_gene_counts,Stage2
5d6a3490-9c77-4bf3-988c-0cda23700323.rna_seq.augmented_star_gene_counts,Stage2
5337fd13-aa7e-46d4-a492-5826b5577eeb.rna_seq.augmented_star_gene_counts,Stage2
c9692040-9da5-4293-a774-b228d60fa372.rna_seq.augmented_star_gene_counts,Stage2
2cf1397e-7b03-48c7-8b37-68a8d59eaffb.rna_seq.augmented_star_gene_counts,Stage2
08e12a24-32d6-4551-8ccc-fefc901bb7f1.rna_seq.augmented_star_gene_counts,Stage2
f8514d71-3592-4b54-b4ef-fd3373bea997.rna_seq.augmented_star_gene_counts,Stage2
0d71c5a0-b2f3-40b8-a6bc-0dd1d3035fb1.rna_seq.augmented_star_gene_counts,Stage2
fe204dc8-a469-44cf-a65e-d0e969637504.rna_seq.augmented_star_gene_counts,Stage2
eed9ee8c-65ef-4361-b7ab-00a636a6b622.rna_seq.augmented_star_gene_counts,Stage2
506c4b04-b41f-49e5-84d0-b86ddd8a445e.rna_seq.augmented_star_gene_counts,Stage2
ca79ea33-d282-49e9-8d21-cbb8c9ecd6ee.rna_seq.augmented_star_gene_counts,Stage2
14a39525-5c76-4d76-8dda-5b42312aa08f.rna_seq.augmented_star_gene_counts,Stage2
155b4627-6a5a-4991-a58e-609c4fcbd5b9.rna_seq.augmented_star_gene_counts,Stage2
423d10bb-1195-4c89-8aab-8cfe926097e9.rna_seq.augmented_star_gene_counts,Stage2
725136f6-c497-4c22-951d-c01a36d9bd7e.rna_seq.augmented_star_gene_counts,Stage2
a3834287-f9b6-4856-b94e-8cf83dff9f28.rna_seq.augmented_star_gene_counts,Stage2
c21e91ee-2750-433c-a786-8e86559b7159.rna_seq.augmented_star_gene_counts,Stage2
74335935-98df-47b5-bc64-c5344b25c332.rna_seq.augmented_star_gene_counts,Stage2
eea95bfb-a897-49e3-b038-66ef69186eb0.rna_seq.augmented_star_gene_counts,Stage2
300cd155-2964-45e5-86e5-68e83fb3e37d.rna_seq.augmented_star_gene_counts,Stage2
eb7240f4-d116-41cb-8f9c-86ee82ecccfb.rna_seq.augmented_star_gene_counts,Stage2
cb250c66-1894-430c-8858-27b8ad932803.rna_seq.augmented_star_gene_counts,Stage2
cd9aea43-7ec6-4d41-a2ec-cb25c9931949.rna_seq.augmented_star_gene_counts,Stage2
3f524d83-3f52-410b-94cd-344a6dd63b13.rna_seq.augmented_star_gene_counts,Stage2
f26bfb05-5870-4f75-b9ba-1c6fa28e35ca.rna_seq.augmented_star_gene_counts,Stage2
1b133688-b446-4eea-bc3a-c9bff4aca50f.rna_seq.augmented_star_gene_counts,Stage2
003a812a-3e6b-413f-b1ec-37f4a31d4684.rna_seq.augmented_star_gene_counts,Stage2
31a7d787-3d81-4ee0-8995-1579c57bc29d.rna_seq.augmented_star_gene_counts,Stage2
