"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PDK4",644.543421206522,-2.34098483100788,0.362527804816505,57.0387612464174,2.52138215280155e-12,9.77525852962533e-10
"ACSM3",59.7959085273303,-1.5637368817923,0.237188629023805,62.4562473966153,1.75517325177419e-13,9.79878123000493e-11
"SOX8",107.153987244835,-2.97782466523499,0.384901833508251,92.3595572083104,6.81845666156318e-20,2.37912999063593e-16
"NOS2",285.414815363261,-2.0454208116892,0.424663556696912,55.5844823674024,5.15243349223939e-12,1.94358146624825e-09
"CHDH",189.108626068099,-1.81754668551163,0.338106221851657,37.8047970867037,3.10863237567389e-08,2.95150898416874e-06
"FHL1",5317.37921225227,-2.25513366163229,0.352321280038227,62.9016922681312,1.40957780867661e-13,8.62156160365941e-11
"MYOM2",351.411922992131,-1.72106304188421,0.360096817102534,33.2906464452917,2.79661065345134e-07,1.84987179574504e-05
"COL9A2",991.472001946779,-2.14961932680773,0.296660057602971,79.0957219394058,4.79721282211164e-17,8.36933741977653e-14
"IL17RB",161.203245089765,-2.1047975034958,0.257795631877089,90.29774759673,1.89061843465338e-19,5.27747229849146e-16
"CAMK2B",173.771181959771,-1.58841365494772,0.376406410056083,29.0726442984214,2.1620813098969e-06,0.000107388501217904
"PYGM",415.035916023491,-2.91587582185084,0.468603251577029,72.2308404729984,1.42058134819545e-15,1.5251579905203e-12
"SPTB",763.102987486526,-2.10998997357379,0.384120412397829,60.8629984977752,3.84460796937507e-13,1.91639976530599e-10
"TMEM38A",504.412239674459,-1.73825752210129,0.282492952930198,52.4990845983039,2.34440485839086e-11,6.54417172171223e-09
"CTTNBP2",171.024568570055,-1.54942499965023,0.355153390049426,31.7632537451636,5.87054573472891e-07,3.44265574872317e-05
"ADCY2",232.496948898242,-1.6532994697074,0.395936621954703,27.8601992422837,3.88589624024722e-06,0.000170551741588461
"ACHE",291.031857850512,-1.60716114902047,0.32169813089607,39.413069701609,1.41888826641209e-08,1.54714246361824e-06
"CRTAC1",157.799525494404,-1.60364417954101,0.380683427301218,32.2695086119393,4.59180677058427e-07,2.78642813465412e-05
"CSF2RB",1220.51633826193,-1.53117263089691,0.246269004015813,50.8546119581115,5.25373007618355e-11,1.30939840488025e-08
"GALNT16",87.7837181160874,-1.85634567030122,0.330199431327458,47.8623586982967,2.27804941731442e-10,4.60793271267497e-08
"DHRS2",369.128807091714,2.03844680017417,0.367902866270314,71.8565961602262,1.70857598482017e-15,1.70332821572394e-12
"MYLK2",120.374481059534,-1.55990873625226,0.385696632120233,28.5527314120936,2.78034359500827e-06,0.000131990665154865
"TNNC2",1172.58716617499,-1.9630162607077,0.522363439500004,28.0244754099258,3.58932589528681e-06,0.000160564812565763
"MYOM1",523.414784434107,-2.6819269133711,0.414692995044828,66.8102530434198,2.05617414149485e-14,1.51042223646545e-11
"MSLN",2054.80792724812,1.93862501633601,0.470120439167667,13.8988180488523,0.00304616435242945,0.028035812730206
"SEC14L5",48.8516547864757,-1.78173062971634,0.267949806551023,59.6986099847045,6.8176382710297e-13,3.06947668866973e-10
