"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CACNA1G",456.748562693134,4.85967753260765,0.198063673357768,658.380751629309,1.0825208952656e-143,8.3534323360433e-143
"CLDN11",746.566556165356,4.01097369533571,0.191671065510429,500.640042972253,1.93818826017672e-109,9.37241089728183e-109
"GPRC5A",8105.57970679393,-4.52456003882939,0.16085758069152,1468.67646954071,1.20492729707763e-319,7.15293420079582e-318
"VSIG2",438.642229287082,-4.55701020472035,0.188205056002503,500.554471957515,2.02291422542009e-109,9.77862287180746e-109
"LAMC2",9854.50643309218,-5.43785266295025,0.183105152073852,1354.47861660623,7.56319810216709e-295,3.44673017888322e-293
"CCN5",2502.28411846765,4.9419163745587,0.228816776279629,544.880482834573,4.7940935462003e-119,2.65608089020962e-118
"ERBB3",4037.69107879525,-4.63174910066782,0.21555180825482,562.95718097441,5.6937891107102e-123,3.31321735225548e-122
"FGF10",735.858597815794,4.27734585594703,0.224820330811719,248.773831144375,9.53781613401461e-55,2.08015374434237e-54
"TP63",6914.26519227865,-6.48371786503775,0.201818674255356,1564.1248794992,0,0
"LLGL2",2898.92362562717,-4.35151440769182,0.123966235848238,1599.41888463421,0,0
"CDHR2",556.835482982871,-5.8117956775298,0.175732970230771,1003.95268752966,9.87287996714314e-219,1.94511543457471e-217
"CELSR1",3663.18642455378,-4.32441091408782,0.133256279402537,1959.83417021864,0,0
"ADCYAP1R1",2011.45714065163,4.09271501607482,0.168569819205705,1440.93842269257,1.27115096391423e-313,7.13901589069814e-312
"CEACAM1",1514.72374720243,-4.55473335351131,0.153240080571734,937.26428151642,2.98983503181762e-204,4.92903984843502e-203
"PKP1",15900.7472206345,-6.12357246429555,0.238912613886305,999.859515812352,7.64301658735626e-218,1.48419267589479e-216
"FAT2",3839.45807839904,-5.45601447877202,0.206542285356033,1050.34252362922,8.337175425661e-229,1.79973954364149e-227
"JPH4",3816.51629635091,4.15274290749991,0.186654900086157,1239.4638400134,7.14244462134115e-270,2.42288190350507e-268
"TGM1",2507.96509097878,-7.07717171035567,0.173374388360049,1907.04449125094,0,0
"CRTAC1",1714.50578569598,4.36123782930818,0.240359225333497,295.195756837271,7.92603274403239e-65,2.00259199534214e-64
"DSP",33284.3174482472,-7.54308795266175,0.193930619997778,1524.40530160063,0,0
"GALNT16",2950.74809572504,4.30737847357494,0.145388693759635,954.575817668418,5.20588912369036e-208,8.99894116081085e-207
